date,headline,text,symbol,source_type,sentiment_score
2025-11-20,MHA renews restriction order on Lawrence Bishnoi for 3rd year - The Indian Express,MHA renews restriction order on Lawrence Bishnoi for 3rd year - The Indian Express,ANMOL,news_rss,-0.5778347253799438
2025-01-15,"Anil Ambani, Jai Anmol Ambani takes big decision, which stir stock market, shares of Reliance Infra, Reliance - India.Com","Anil Ambani, Jai Anmol Ambani takes big decision, which stir stock market, shares of Reliance Infra, Reliance - India.Com",ANMOL,news_rss,0.0
2025-06-20,‘We no longer have any association with Anmol Bishnoi’: fresh audio shows rift between Lawrence Bishnoi and Goldy Brar - The Indian Express,‘We no longer have any association with Anmol Bishnoi’: fresh audio shows rift between Lawrence Bishnoi and Goldy Brar - The Indian Express,ANMOL,news_rss,0.0
2023-06-05,"Hot stocks for next week: Tata Power, Hardwyn India, Sejal Glass, Nelco shares in focus - Business Today","Hot stocks for next week: Tata Power, Hardwyn India, Sejal Glass, Nelco shares in focus - Business Today",ANMOL,news_rss,0.0
2024-11-18,"Who is Anmol Bishnoi, Lawrence Bishnoi's brother who was detained in US | India News - Hindustan Times","Who is Anmol Bishnoi, Lawrence Bishnoi's brother who was detained in US | India News - Hindustan Times",ANMOL,news_rss,0.0
2025-04-28,"Anil Ambani making a comeback? Sons helped clear debts in billions, made several Reliance Group companies deb - India.Com","Anil Ambani making a comeback? Sons helped clear debts in billions, made several Reliance Group companies deb - India.Com",ANMOL,news_rss,0.0
2026-06-17,Anmol India Ltd is Rated Sell by MarketsMOJO - Markets Mojo,Anmol India Ltd is Rated Sell by MarketsMOJO - Markets Mojo,ANMOL,news_rss,0.0
2026-06-16,Anmol India Ltd Valuation Shifts Signal Renewed Price Attractiveness Amid Market Challenges - Markets Mojo,Anmol India Ltd Valuation Shifts Signal Renewed Price Attractiveness Amid Market Challenges - Markets Mojo,ANMOL,news_rss,0.9400108456611633
2026-06-09,Anmol India Ltd Valuation Shifts Signal Changing Market Sentiment - Markets Mojo,Anmol India Ltd Valuation Shifts Signal Changing Market Sentiment - Markets Mojo,ANMOL,news_rss,-0.8554592132568359
2026-05-27,Anmol India Ltd Upgraded to Sell on Improved Valuation Metrics and Financial Trends - Markets Mojo,Anmol India Ltd Upgraded to Sell on Improved Valuation Metrics and Financial Trends - Markets Mojo,ANMOL,news_rss,0.9564703106880188
2026-05-25,Anmol India Ltd Valuation Shifts Signal Price Attractiveness Amid Market Challenges - Markets Mojo,Anmol India Ltd Valuation Shifts Signal Price Attractiveness Amid Market Challenges - Markets Mojo,ANMOL,news_rss,0.5103757381439209
2026-05-19,Anmol India Ltd Downgraded to Strong Sell Amidst Flat Financials and Bearish Technicals - Markets Mojo,Anmol India Ltd Downgraded to Strong Sell Amidst Flat Financials and Bearish Technicals - Markets Mojo,ANMOL,news_rss,-0.9447389245033264
2026-01-19,Anmol India Ltd is Rated Strong Sell - Markets Mojo,Anmol India Ltd is Rated Strong Sell - Markets Mojo,ANMOL,news_rss,0.9406614303588867
2026-02-24,Anmol India Ltd Stock Falls to 52-Week Low of Rs.11.3 Amid Market Downturn - Markets Mojo,Anmol India Ltd Stock Falls to 52-Week Low of Rs.11.3 Amid Market Downturn - Markets Mojo,ANMOL,news_rss,-0.9688717722892761
2026-01-14,Anmol India Ltd Stock Falls to 52-Week Low of Rs.12.68 - Markets Mojo,Anmol India Ltd Stock Falls to 52-Week Low of Rs.12.68 - Markets Mojo,ANMOL,news_rss,-0.9628505110740662
2025-12-09,Who Is Jai Anmol Ambani? Ex-Reliance Home Finance Director Booked In Criminal Case - Republic World,Who Is Jai Anmol Ambani? Ex-Reliance Home Finance Director Booked In Criminal Case - Republic World,ANMOL,news_rss,0.0
2025-01-28,"Shark Tank India S4: Anmol Saxena’s “Push, Push, Push!” pitch secures Rs 50 lakh investment - financialexpress.com","Shark Tank India S4: Anmol Saxena’s “Push, Push, Push!” pitch secures Rs 50 lakh investment - financialexpress.com",ANMOL,news_rss,0.0
2025-01-12,"Anil Ambani, son Jai Anmol seek 'public shareholder' status: What next for RPower, Infra stocks? - Business Today","Anil Ambani, son Jai Anmol seek 'public shareholder' status: What next for RPower, Infra stocks? - Business Today",ANMOL,news_rss,0.0
